sample.id	origin
M11062205	Malay
M11050406	Malay
M11050407	Malay
M11070602	Malay
M11060912	Malay
M11060920	Malay
M11050402	Malay
M11050512	Malay
M11051201	Malay
M11060919	Malay
M11051803	Malay
M11051205	Malay
M11052504	Malay
M11060202	Malay
M11050405	Malay
M11050506	Malay
M11051805	Malay
M11062511	Malay
M11060904	Malay
M11050510	Malay
M11052814	Malay
M11072711	Malay
M11051107	Malay
M11061609	Malay
M11052507	Malay
M11052808	Malay
M11050415	Malay
M11052503	Malay
M11061601	Malay
M11051112	Malay
M11052811	Malay
M11051806	Malay
M11052506	Malay
M11050504	Malay
M11052508	Malay
M11052509	Malay
M11051106	Malay
M11072305	Malay
M11060913	Malay
M11052802	Malay
M11051901	Malay
M11050508	Malay
M11050516	Malay
M11051203	Malay
M11051110	Malay
M11051904	Malay
M11051801	Malay
M11051908	Malay
M11050515	Malay
M11051101	Malay
M11051202	Malay
M11050411	Malay
M11060915	Malay
M11051807	Malay
M11052801	Malay
M11051802	Malay
M11050409	Malay
M11051207	Malay
M11051903	Malay
M11050410	Malay
M11051911	Malay
M11050502	Malay
M11051910	Malay
M11051114	Malay
M11050505	Malay
M11051109	Malay
M11062908	Malay
M11052809	Malay
M11072704	Malay
M11051102	Malay
M11060103	Malay
M11052502	Malay
M11050501	Malay
M11062508	Malay
M11050401	Malay
M11052806	Malay
M11050404	Malay
M11051105	Malay
M11050414	Malay
M11050408	Malay
M11051206	Malay
M11051906	Malay
M11050413	Malay
M11050507	Malay
M11062914	Malay
M11051113	Malay
M11051804	Malay
M11050403	Malay
M11051103	Malay
M11050514	Malay
M11051104	Malay
M11072308	Malay
M11051204	Malay
M11051907	Malay
M11062215	Malay
M11060908	Malay
M11050509	Malay
M11052813	Malay
M11052505	Malay
M11062524	Malay
M11051209	Malay
M11051108	Malay
M11061602	Malay
M11050513	Malay
M11052812	Malay
M11062504	Malay
M11050416	Malay
M11051115	Malay
M11061607	Indian
M11060105	Indian
M11061606	Indian
M11061506	Indian
M11062515	Indian
M11060914	Indian
M11072304	Indian
M11062522	Indian
M11062910	Indian
M11061503	Indian
M11072323	Indian
M11072318	Indian
M11072001	Indian
M11060113	Indian
M11060102	Indian
M11062517	Indian
M11060918	Indian
M11062909	Indian
M11060109	Indian
M11062509	Indian
M11060905	Indian
M11070608	Indian
M11072322	Indian
M11060907	Indian
M11060104	Indian
M11052501	Indian
M11060110	Indian
M11070610	Indian
M11052810	Indian
M11072010	Indian
M11071306	Indian
M11060917	Indian
M11060911	Indian
M11081709	Indian
M11060208	Indian
M11082015	Indian
M11072303	Indian
M11081315	Indian
M11061507	Indian
M11060901	Indian
M11060205	Indian
M11060108	Indian
M11081310	Indian
M11062510	Indian
M11062913	Indian
M11072007	Indian
M11052817	Indian
M11060923	Indian
M11052803	Indian
M11073002	Indian
M11081307	Indian
M11073004	Indian
M11081308	Indian
M11060204	Indian
M11061604	Indian
M11062214	Indian
M11061509	Indian
M11060107	Indian
M11062207	Indian
M11081314	Indian
M11061511	Indian
M11062507	Indian
M11062210	Indian
M11081301	Indian
M11062501	Indian
M11072313	Indian
M11062202	Indian
M11072307	Indian
M11060902	Indian
M11062518	Indian
M11060114	Indian
M11080307	Indian
M11060207	Indian
M11072314	Indian
